name,spellLevel,shortDescription,"Cleric, Druid, Wizard Scroll Cost",Sorcerer Scroll Cost,Bard Scroll Cost,"Paladin, Ranger Scroll Cost",Lowest Scroll Cost
"Scroll of Scrying, Greater","bard 6, cleric/oracle 7, druid 7, sorcerer/wizard 7, witch 7, shaman 7, occultist 6, psychic 7, mesmerist 6","As scrying, but faster and longer.",2275.0,2450.0,2400.0,0.0,2275.0
Scroll of Disguise Weapon,"bard 1, magus 1, sorcerer/wizard 1, witch 1, psychic 1, mesmerist 1, medium 1",Changes one weapon’s appearance.,25.0,25.0,25.0,0.0,25.0
"Scroll of Arcane Sight, Greater","sorcerer/wizard 7, witch 7, psychic 7"," As arcane sight, but also reveals magic effects on creatures and objects.",2275.0,2450.0,0.0,0.0,2275.0
Scroll of Invisibility Alarm,"alchemist 1, bard 1, inquisitor 1, ranger 1, sorcerer/wizard 1, psychic 1","As alarm, but reacting only to invisible creatures.",25.0,25.0,25.0,25.0,25.0
Scroll of Long Arm,"alchemist 1, bloodrager 1, magus 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, psychic 1, medium 1","Your arms lengthen, giving you extra reach.",25.0,25.0,0.0,0.0,25.0
Scroll of Monkey Fish,"alchemist 1, druid 1, magus 1, shaman 1, sorcerer/wizard 1, psychic 1",Gain a climb speed of 10 ft. and a swim speed of 10 ft. for a time.,25.0,25.0,0.0,0.0,25.0
Scroll of Sunder Breaker,"magus 1, sorcerer/wizard 1, psychic 1",The next weapon that sunders an item belonging to the target takes damage.,25.0,25.0,0.0,0.0,25.0
Scroll of Sundering Shards,"bloodrager 1, magus 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1","Sundered item explodes, dealing 1d6 damage to adjacent creatures.",25.0,25.0,0.0,0.0,25.0
Scroll of Burst Of Adrenaline,"mesmerist 1, psychic 1, spiritualist 1","Gain a +8 bonus to Str, Dex, or Con for one roll, then be fatigued for 1 round.",0.0,0.0,0.0,0.0,0.0
Scroll of Burst Of Insight,"medium 1, mesmerist 1, psychic 1, spiritualist 1","Gain a +8 bonus to Int, Wis, or Cha for one roll, then be dazed for 1 round.",0.0,0.0,0.0,0.0,0.0
Scroll of Charge Object,"medium 1, mesmerist 1, occultist 1, psychic 1, spiritualist 1",Infuse psychic energy and ownership history into an item.,0.0,0.0,0.0,0.0,0.0
Scroll of Decrepit Disguise,"bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1",Make an object seem worthless.,25.0,25.0,25.0,0.0,25.0
Scroll of Vision,"sorcerer/wizard 7, witch 7, shaman 7, psychic 7"," As legend lore, but quicker.",2275.0,2450.0,0.0,0.0,2275.0
Scroll of Discern Location,"cleric/oracle 8, sorcerer/wizard 8, summoner/unchained summoner 6, witch 8, shaman 8, psychic 8",Reveals exact location of creature or object.,3000.0,3200.0,0.0,0.0,3000.0
Scroll of True Prognostication,"cleric/oracle 8, psychic 8, shaman 8, witch 8",Gain incredibly cryptic information from the distant future.,3000.0,0.0,0.0,0.0,3000.0
Scroll of Quintessence,"bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1",Mask any flaws of or damage to a creature or object.,25.0,25.0,25.0,0.0,25.0
Scroll of Thought Echo,"mesmerist 1, psychic 1",Replace surface thoughts with a mental echo.,0.0,0.0,0.0,0.0,0.0
Scroll of Moment of Prescience,"sorcerer/wizard 8, witch 8, psychic 8"," You gain +1/level insight bonus on single attack roll, check, or save.",3000.0,3200.0,0.0,0.0,3000.0
Scroll of Dancing Darkness,"antipaladin 1, bard 1, magus 1, shaman 1, psychic 1, sorcerer/wizard 1, spiritualist 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Auditory Hallucination,"bard 1, magus 1, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1",Create a phantasm with auditory effects.,25.0,25.0,25.0,0.0,25.0
Scroll of Fabricate Disguise,"alchemist 1, antipaladin 1, bard 1, inquisitor 1, psychic 1, sorcerer/wizard 1, witch 1",Create a disguise in an instant.,25.0,25.0,25.0,0.0,25.0
Scroll of Wizened Appearance,"alchemist 1, bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1, witch 1",Make a target appear as an older version of itself.,25.0,25.0,25.0,0.0,25.0
"Scroll of Prying Eyes, Greater","sorcerer/wizard 8, witch 8, psychic 8"," As prying eyes, but eyes have true seeing.",3000.0,3200.0,0.0,0.0,3000.0
Scroll of Incessant Buzzing,"antipaladin 1, bard 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Lightfingers,"psychic 1, spiritualist 1, witch 1",,0.0,0.0,0.0,0.0,0.0
Scroll of Hide Bruises,"antipaladin 1, bard 1, inquisitor 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Fool's Gold,"bard 1, medium 1, mesmerist 1, psychic 1, sorcerer/wizard 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Echo,"bard 1, druid 1, medium 1, mesmerist 1, occultist 1, psychic 1, ranger 1, spiritualist 1, witch 1"," Cause a sound to repeat itself.",25.0,0.0,25.0,25.0,25.0
Scroll of Alter Self,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",Assume form of a Small or Medium humanoid.,150.0,200.0,200.0,0.0,150.0
Scroll of Blur,"bard 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",Attacks miss subject 20% of the time.,150.0,200.0,200.0,0.0,150.0
Scroll of Cat's Grace,"bard 2, druid 2, ranger 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, bloodrager 2, psychic 2, mesmerist 2, medium 2",Subject gains +4 to Dex for 1 min./level.,150.0,200.0,200.0,200.0,150.0
Scroll of Chill Metal,"druid 2, occultist 2, psychic 2", Cold metal damages those who touch it.,150.0,0.0,0.0,0.0,150.0
Scroll of Darkvision,"ranger 3, sorcerer/wizard 2, alchemist 2, antipaladin 2, occultist 2, psychic 2, medium 2",See 60 ft. in total darkness.,150.0,200.0,0.0,525.0,150.0
Scroll of False Life,"sorcerer/wizard 2, alchemist 2, witch 2, bloodrager 2, shaman 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2", Gain 1d10 temporary hp + 1/level (max +10).,150.0,200.0,0.0,0.0,150.0
Scroll of Fox's Cunning,"bard 2, sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, psychic 2, medium 2",Subject gains +4 to Int for 1 min./level.,150.0,200.0,200.0,0.0,150.0
Scroll of Heat Metal,"druid 2, occultist 2, psychic 2", Makes metal so hot it damages those who touch it.,150.0,0.0,0.0,0.0,150.0
Scroll of Hypnotic Pattern,"bard 2, sorcerer/wizard 2, psychic 2, mesmerist 2",Fascinates (2d4 + level) HD of creatures.,150.0,200.0,200.0,0.0,150.0
Scroll of Invisibility,"bard 2, sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, inquisitor 2, antipaladin 2, magus 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",Subject is invisible for 1 min./level or until it attacks.,150.0,200.0,200.0,0.0,150.0
Scroll of Knock,"sorcerer/wizard 2, inquisitor 2, occultist 2, psychic 2, mesmerist 2, medium 2", Opens locked or magically sealed door.,150.0,200.0,0.0,0.0,150.0
Scroll of Levitate,"sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, witch 2, magus 2, shaman 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2", Subject moves up and down at your direction.,150.0,200.0,0.0,0.0,150.0
Scroll of Magic Mouth,"bard 1, sorcerer/wizard 2, summoner/unchained summoner 1, occultist 2, psychic 2, mesmerist 1, medium 2",Objects speaks once when triggered.,150.0,200.0,25.0,0.0,25.0
Scroll of Minor Image,"bard 2, sorcerer/wizard 2, magus 2, occultist 2, psychic 2, mesmerist 2, medium 2","As silent image, plus some sound.",150.0,200.0,200.0,0.0,150.0
Scroll of Mirror Image,"bard 2, sorcerer/wizard 2, magus 2, bloodrager 2, occultist 2, psychic 2, mesmerist 2, medium 2","Creates decoy duplicates of you (1d4 + 1 per three levels, max 8).",150.0,200.0,200.0,0.0,150.0
Scroll of Misdirection,"bard 2, sorcerer/wizard 2, summoner/unchained summoner 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",Misleads divinations for one creature or object.,150.0,200.0,200.0,0.0,150.0
Scroll of Phantom Trap,"sorcerer/wizard 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2", Makes item seem trapped.,150.0,200.0,0.0,0.0,150.0
Scroll of Protection From Arrows,"sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, bloodrager 2, psychic 2, spiritualist 2", Subject gains DR 10/magic against ranged attacks.,150.0,200.0,0.0,0.0,150.0
Scroll of Pyrotechnics,"bard 2, sorcerer/wizard 2, magus 2, bloodrager 2, psychic 2, mesmerist 2",Turns fire into blinding light or choking smoke.,150.0,200.0,200.0,0.0,150.0
Scroll of Rope Trick,"sorcerer/wizard 2, occultist 2, psychic 2, medium 2", As many as eight creatures hide in extradimensional space.,150.0,200.0,0.0,0.0,150.0
Scroll of Scare,"bard 2, sorcerer/wizard 2, witch 2, antipaladin 2, shaman 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",Frightens creature of less than 6 HD.,150.0,200.0,200.0,0.0,150.0
Scroll of Prediction of Failure,"sorcerer/wizard 8, witch 8, occultist 6, psychic 8","Target is permanently shaken and sickened, and may gain a spellblight.",3000.0,3200.0,0.0,0.0,3000.0
Scroll of Glimpse Of The Akashic,psychic 8,,0.0,0.0,0.0,0.0,0.0
Scroll of Spectral Hand,"sorcerer/wizard 2, witch 2, occultist 2, psychic 2, spiritualist 2, medium 2", Creates disembodied glowing hand to deliver touch attacks.,150.0,200.0,0.0,0.0,150.0
Scroll of Spider Climb,"druid 2, sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, magus 2, bloodrager 2, occultist 2, psychic 2, medium 2",Grants ability to walk on walls and ceilings.,150.0,200.0,0.0,0.0,150.0
Scroll of Whispering Wind,"bard 2, sorcerer/wizard 2, inquisitor 2, psychic 2, mesmerist 2, medium 2",Sends a short message 1 mile/level.,150.0,200.0,200.0,0.0,150.0
Scroll of Foresight,"druid 9, sorcerer/wizard 9, witch 9, shaman 9, psychic 9",“Sixth sense” warns of impending danger.,3825.0,4050.0,0.0,0.0,3825.0
Scroll of Threefold Form,"druid 9, psychic 9, witch 9",,3825.0,0.0,0.0,0.0,3825.0
Scroll of Feast Of Ashes,"druid 2, witch 2, occultist 2, psychic 2",A target starves with an insatiable hunger.,150.0,0.0,0.0,0.0,150.0
Scroll of Glide,"druid 2, ranger 1, sorcerer/wizard 2, summoner/unchained summoner 2, witch 2, shaman 2, occultist 2, psychic 2","No fall damage, move 60 ft./round while falling.",150.0,200.0,0.0,25.0,25.0
Scroll of Hidden Speech,"bard 2, inquisitor 3, witch 2, psychic 2, mesmerist 2, medium 2",Gain +10 on Bluff to send secret messages.,0.0,0.0,200.0,0.0,200.0
Scroll of Pain Strike,"sorcerer/wizard 3, witch 3, bloodrager 3, psychic 2, spiritualist 3",Inflicts 1d6 nonlethal damage 1 round/level.,375.0,450.0,0.0,0.0,375.0
Scroll of Perceive Cues,"alchemist 2, inquisitor 2, ranger 2, witch 2, occultist 2, psychic 2, mesmerist 2",+5 Perception and Sense Motive 10 min./level.,0.0,0.0,0.0,200.0,200.0
Scroll of Acute Senses,"alchemist 2, bard 2, inquisitor 2, ranger 2, psychic 2",Subject gains a bonus on Perception checks.,0.0,0.0,200.0,200.0,200.0
Scroll of Disguise Other,"bard 2, inquisitor 2, sorcerer/wizard 2, occultist 2, psychic 2, medium 2","As disguise self, but affects you or another.",150.0,200.0,200.0,0.0,150.0
Scroll of Ghostly Disguise,"alchemist 2, bard 2, inquisitor 2, sorcerer/wizard 2, witch 2, occultist 2, psychic 2, mesmerist 2, medium 2",You look like a ghost of yourself.,150.0,200.0,200.0,0.0,150.0
Scroll of Haunting Mists,"bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2",Creatures are shaken and take Wis damage.,150.0,200.0,200.0,0.0,150.0
Scroll of Howling Agony,"inquisitor 2, sorcerer/wizard 3, witch 3, bloodrager 3, psychic 2, mesmerist 2, spiritualist 3",Screaming pain limits the target's actions.,375.0,450.0,0.0,0.0,375.0
Scroll of Mad Hallucination,"bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2",Target takes penalties to mental actions.,150.0,200.0,200.0,0.0,150.0
Scroll of Miserable Pity,"bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2",Opponents cannot attack a pathetic creature.,150.0,200.0,200.0,0.0,150.0
Scroll of Piercing Shriek,"bard 2, psychic 2",Target is staggered by a painful sound.,0.0,0.0,200.0,0.0,200.0
Scroll of Sculpt Simulacrum,"sorcerer/wizard 2, psychic 2",Alter a simulacrum's appearance.,150.0,200.0,0.0,0.0,150.0
Scroll of Skinsend,"alchemist 2, sorcerer/wizard 2, witch 2, occultist 2, psychic 2",Animate and possess your own skin as if it were a separate creature.,150.0,200.0,0.0,0.0,150.0
Scroll of Steal Voice,"bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2, medium 2",Target gains the croaking spellblight.,150.0,200.0,200.0,0.0,150.0
Scroll of Animal Aspect,"alchemist 2, magus 2, druid 2, ranger 2, sorcerer/wizard 2, bloodrager 2, psychic 2",You gain some of the beneficial qualities of an animal.,150.0,200.0,0.0,200.0,150.0
Scroll of Bullet Shield,"alchemist 2, sorcerer/wizard 2, bloodrager 2, occultist 2, psychic 2",You gain a +4 deflection bonus to AC against firearm attacks.,150.0,200.0,0.0,0.0,150.0
Scroll of Kinetic Reverberation,"alchemist 2, sorcerer/wizard 2, psychic 2",Channels the force of an enemy's attack back into its weapon.,150.0,200.0,0.0,0.0,150.0
"Scroll of Mask Dweomer, Communal","witch 2, occultist 2, psychic 2","As mask dweomer, but you may divide the duration among creatures touched.",0.0,0.0,0.0,0.0,0.0
Scroll of Spontaneous Immolation,"sorcerer/wizard 2, psychic 2",Target takes 3d6 points of fire damage and catches on fire.,150.0,200.0,0.0,0.0,150.0
Scroll of Telekinetic Assembly,"magus 2, sorcerer/wizard 2, occultist 2, psychic 2",Assembles a siege engine using 1 fewer worker for every two caster levels.,150.0,200.0,0.0,0.0,150.0
Scroll of Twisted Space,"magus 2, sorcerer/wizard 2, summoner/unchained summoner 2, psychic 2",Targeted creature's attacks target a random square instead of the intended target.,150.0,200.0,0.0,0.0,150.0
Scroll of Warding Weapon,"magus 1, sorcerer/wizard 2, summoner/unchained summoner 2, bloodrager 1, occultist 1, psychic 2","The weapon you use for the focus of this spell defends you, allowing you to cast spells without provoking attacks of opportunity.",150.0,200.0,0.0,0.0,150.0
Scroll of Jitterbugs,"bard 1, sorcerer/wizard 2, psychic 2, mesmerist 1",,150.0,200.0,25.0,0.0,25.0
Scroll of Steal Breath,"bard 2, druid 2, sorcerer/wizard 2, witch 2, bloodrager 2, psychic 2, mesmerist 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Detect Chaos,"cleric/oracle 1, inquisitor 1, shaman 1, spiritualist 1","Reveals creatures, spells, or objects of selected alignment.",25.0,0.0,0.0,0.0,25.0
Scroll of Shadow Anchor,"bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Adhesive Blood,"alchemist 2, bloodrager 2, sorcerer/wizard 2, witch 2, psychic 2",Attackers’ weapons stick to your gluey blood.,150.0,200.0,0.0,0.0,150.0
Scroll of Blood Armor,"alchemist 2, bloodrager 2, sorcerer/wizard 2, summoner/unchained summoner 2, witch 2, psychic 2","Your blood hardens when you are wounded, increasing your AC.",150.0,200.0,0.0,0.0,150.0
Scroll of Bullet Ward,"antipaladin 2, bard 2, inquisitor 2, paladin 2, ranger 2, sorcerer/wizard 2, witch 2, psychic 2",Adamantine bullets intercept firearm attacks.,150.0,200.0,200.0,200.0,150.0
Scroll of Buoyancy,"bard 2, shaman 2, sorcerer/wizard 2, witch 2, psychic 2",Targets easily float on water.,150.0,200.0,200.0,0.0,150.0
Scroll of Crimson Confession,"sorcerer/wizard 2, witch 2, occultist 2, psychic 2",Touching the marked object or area turns one’s skin red.,150.0,200.0,0.0,0.0,150.0
Scroll of Extreme Flexibility,"alchemist 2, bloodrager 2, magus 2, sorcerer/wizard 2, witch 2, psychic 2, medium 2","Gain a bonus to AC, on Escape Artist checks, and when grappling.",150.0,200.0,0.0,0.0,150.0
Scroll of Detect Evil,"cleric/oracle 1, inquisitor 1, shaman 1, spiritualist 1","Reveals creatures, spells, or objects of selected alignment.",25.0,0.0,0.0,0.0,25.0
Scroll of Mirror Hideaway,"sorcerer/wizard 2, witch 2, occultist 2, psychic 2",As many as eight creatures hide in an extradimensional space.,150.0,200.0,0.0,0.0,150.0
Scroll of Sonic Scream,"bard 2, bloodrager 2, magus 2, sorcerer/wizard 2, psychic 2",Create a cone of damaging sound at will.,150.0,200.0,200.0,0.0,150.0
Scroll of Stricken Heart,"inquisitor 2, shaman 3, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2, spiritualist 2",Touch attack deals 2d6 damage and staggers target.,150.0,200.0,0.0,0.0,150.0
Scroll of Time Shudder,"magus 2, sorcerer/wizard 2, summoner/unchained summoner 2, psychic 2",Nearby creatures are affected by haste or slow each round.,150.0,200.0,0.0,0.0,150.0
Scroll of Twilight Haze,"sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2, spiritualist 2",Illusory fog obscures vision.,150.0,200.0,0.0,0.0,150.0
Scroll of Fleshy Facade,"alchemist 2, bard 2, inquisitor 2, sorcerer/wizard 2, witch 2, psychic 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Detect Good,"cleric/oracle 1, inquisitor 1, shaman 1, spiritualist 1","Reveals creatures, spells, or objects of selected alignment.",25.0,0.0,0.0,0.0,25.0
Scroll of Detect Law,"cleric/oracle 1, inquisitor 1, shaman 1, spiritualist 1","Reveals creatures, spells, or objects of selected alignment.",25.0,0.0,0.0,0.0,25.0
Scroll of Enshroud Thoughts,"alchemist 2, bard 2, inquisitor 2, medium 2, mesmerist 2, psychic 2, ranger 3, shaman 2, witch 2",Ward yourself against thought detection and memory alteration.,0.0,0.0,200.0,525.0,200.0
Scroll of Know The Enemy,"cleric/oracle 1, inquisitor 1, paladin 1, ranger 1",Gain +10 on a monster Knowledge check.,25.0,0.0,0.0,25.0,25.0
Scroll of Implant False Reading,"mesmerist 2, occultist 2, psychic 2",Instill false psychic impressions into an object.,0.0,0.0,0.0,0.0,0.0
Scroll of Instigate Psychic Duel,"medium 2, mesmerist 2, occultist 2, psychic 2, spiritualist 2",Start a psychic duel between yourself and another creature,0.0,0.0,0.0,0.0,0.0
Scroll of Mental Barrier I,psychic 2,Gain a +4 shield bonus to AC and resist mind thrust for 1 round as an immediate action.,0.0,0.0,0.0,0.0,0.0
Scroll of Deadeye's Lore,"bard 1, cleric/oracle 1, druid 1, inquisitor 1, ranger 1",Gain a +4 bonus on Survival and move full speed while tracking.,25.0,0.0,25.0,25.0,25.0
Scroll of Embrace Destiny,"oracle 1, sorcerer/wizard 2, witch 2",,150.0,200.0,0.0,0.0,150.0
Scroll of Karmic Blessing,"cleric/oracle 1, witch 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Oneiric Horror,"bard 2, medium 1, mesmerist 2, psychic 2, sorcerer/wizard 3",Distract and fatigue the target with a creature from its nightmares.,375.0,450.0,200.0,0.0,200.0
Scroll of Paranoia,"bard 2, medium 1, mesmerist 1, psychic 2, sorcerer/wizard 2, witch 2",Target becomes hostile to all creatures.,150.0,200.0,200.0,0.0,150.0
Scroll of Placebo Effect,"medium 2, mesmerist 2, psychic 2",Temporarily suppress an affliction or condition.,0.0,0.0,0.0,0.0,0.0
Scroll of Thought Shield I,psychic 2,"As an immediate action, gain a +4 bonus on Will saves against mind-affecting effects.",0.0,0.0,0.0,0.0,0.0
Scroll of Kreighton's Perusal,"bard 1, cleric/oracle 1, magus 1, sorcerer/wizard 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Mind Over Matter,"mesmerist 2, psychic 2, spiritualist 2",,0.0,0.0,0.0,0.0,0.0
Scroll of Peerless Integrity,"antipaladin 2, bard 2, mesmerist 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Force Sword,"bloodrager 2, magus 2, occultist 2, psychic 2, sorcerer/wizard 2, spiritualist 2, witch 2",,150.0,200.0,0.0,0.0,150.0
Scroll of Human Potential,"alchemist 2, bard 2, medium 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Splinter Spell Resistance,"bloodrager 2, magus 2, occultist 2, psychic 2, shaman 2, sorcerer/wizard 2, witch 2",,150.0,200.0,0.0,0.0,150.0
Scroll of Codespeak,"bard 2, medium 2, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2","Speak, read, and write a new code language.",150.0,200.0,200.0,0.0,150.0
Scroll of Sure Casting,"bard 1, cleric/oracle 1, inquisitor 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Shifted Steps,"alchemist 2, antipaladin 2, bard 2, inquisitor 2, magus 2, medium 2, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2, spiritualist 2",Make a target sound as if elsewhere.,150.0,200.0,200.0,0.0,150.0
Scroll of Assumed Likeness,"bard 1, magus 2, medium 1, mesmerist 1, occultist 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,25.0,0.0,25.0
Scroll of Garrulous Grin,"antipaladin 2, bard 2, inquisitor 2, mesmerist 2, psychic 2, shaman 2, spiritualist 2, witch 3",,0.0,0.0,200.0,0.0,200.0
Scroll of Absurdity,"bard 2, medium 2, mesmerist 2, psychic 2, spiritualist 2"," Threats seem like a ridiculous farce.",0.0,0.0,200.0,0.0,200.0
Scroll of Crafter's Nightmare,"bard 2, druid 2, medium 1, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2, spiritualist 2, witch 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Unsettling Presence,"bard 2, medium 1, mesmerist 2, occultist 2, psychic 2, shaman 2, sorcerer/wizard 2, witch 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Painful Revelation,"antipaladin 2, bard 2, mesmerist 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Escape Alarm,"bard 2, inquisitor 2, occultist 2, psychic 2, ranger 2, sorcerer/wizard 2, spiritualist 2, summoner/unchained summoner 2",,150.0,200.0,200.0,200.0,150.0
Scroll of Telekinetic Strikes,"magus 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,0.0,0.0,150.0
Scroll of Obscured Script,"bard 2, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Sympathetic Aura,"bard 2, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Extreme Buoyancy,"alchemist 2, bard 2, druid 2, medium 2, occultist 2, psychic 2, ranger 2, shaman 2",,150.0,0.0,200.0,200.0,150.0
Scroll of Invisibility Bubble,"alchemist 2, antipaladin 2, bard 2, inquisitor 2, magus 2, medium 2, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2, spiritualist 2, summoner/unchained summoner 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Lead Anchor,"alchemist 2, bard 2, druid 2, medium 2, occultist 2, psychic 2, ranger 2, shaman 2, witch 2",,150.0,0.0,200.0,200.0,150.0
Scroll of Neutral Buoyancy,"alchemist 2, bard 2, druid 2, medium 2, occultist 2, psychic 2, ranger 2, shaman 2",,150.0,0.0,200.0,200.0,150.0
Scroll of Hidden Knowledge,"bard 2, medium 2, mesmerist 2, occultist 2, psychic 2, sorcerer/wizard 2",,150.0,200.0,200.0,0.0,150.0
Scroll of Detect Demon,"cleric/oracle 1, inquisitor 1, paladin 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Blink,"bard 3, sorcerer/wizard 3, magus 3, psychic 3",You randomly vanish and reappear for 1 round/level.,375.0,450.0,525.0,0.0,375.0
Scroll of Carrion Compass,"cleric/oracle 1, ranger 1, sorcerer/wizard 2, witch 1",,25.0,200.0,0.0,25.0,25.0
Scroll of Displacement,"bard 3, sorcerer/wizard 3, alchemist 3, summoner/unchained summoner 3, magus 3, occultist 3, psychic 3, mesmerist 3, spiritualist 3, medium 3",Attacks miss subject 50% of the time.,375.0,450.0,525.0,0.0,375.0
Scroll of Fly,"sorcerer/wizard 3, alchemist 3, summoner/unchained summoner 3, witch 3, magus 3, bloodrager 3, shaman 3, occultist 3, psychic 3, spiritualist 3, medium 3", Subject flies at speed of 60 ft.,375.0,450.0,0.0,0.0,375.0
Scroll of Gaseous Form,"bard 3, sorcerer/wizard 3, alchemist 3, magus 3, occultist 3, psychic 3, spiritualist 3, medium 3",Subject becomes insubstantial and can fly slowly.,375.0,450.0,525.0,0.0,375.0
Scroll of Haste,"alchemist 3, bard 3, magus 3, sorcerer/wizard 3, summoner 2, bloodrager 3, occultist 3, psychic 3, spiritualist 3, unchained summoner 3, medium 2","One creature/level moves faster, receives +1 on attack rolls, AC, and Reflex saves.",375.0,450.0,525.0,0.0,375.0
Scroll of Illusory Script,"bard 3, sorcerer/wizard 3, occultist 3, psychic 3, mesmerist 3",Only select creatures can read text.,375.0,450.0,525.0,0.0,375.0
Scroll of Invisibility Sphere,"bard 3, sorcerer/wizard 3, occultist 3, psychic 3, mesmerist 3, unchained summoner 3",Makes everyone within 10 feet invisible.,375.0,450.0,525.0,0.0,375.0
Scroll of Major Image,"bard 3, sorcerer/wizard 3, magus 3, occultist 3, psychic 3, mesmerist 3, medium 3","As silent image, plus sound, smell, and thermal effects.",375.0,450.0,525.0,0.0,375.0
Scroll of Nondetection,"ranger 4, sorcerer/wizard 3, alchemist 3, summoner/unchained summoner 3, inquisitor 3, antipaladin 3, occultist 3, psychic 3, mesmerist 3, spiritualist 3, medium 2","Hides subject from divination, scrying.",375.0,450.0,0.0,1000.0,375.0
Scroll of Shrink Item,"sorcerer/wizard 3, occultist 3, psychic 3", Object shrinks to one-sixteenth size.,375.0,450.0,0.0,0.0,375.0
Scroll of Slow,"bard 3, sorcerer/wizard 3, summoner 2, magus 3, bloodrager 3, occultist 3, psychic 3, spiritualist 3, unchained summoner 3, medium 2","One subject/level takes only one action/round, –1 to AC, Reflex saves, and attack rolls.",375.0,450.0,525.0,0.0,375.0
Scroll of Vampiric Touch,"sorcerer/wizard 3, witch 3, antipaladin 3, magus 3, bloodrager 3, psychic 3, mesmerist 3, spiritualist 3, medium 3",Touch deals 1d6 damage/2 levels; caster gains damage as temporary hp.,375.0,450.0,0.0,0.0,375.0
Scroll of Cup Of Dust,"druid 3, witch 3, occultist 3, psychic 3, mesmerist 3",Causes a creature to become dehydrated.,375.0,0.0,0.0,0.0,375.0
Scroll of Devolution,"sorcerer/wizard 3, summoner/unchained summoner 3, psychic 3",Target eidolon temporarily loses 1 evolution +1/five levels.,375.0,450.0,0.0,0.0,375.0
"Scroll of Feather Step, Mass","bard 3, druid 3, ranger 3, psychic 3","As feather step, but multiple creatures.",375.0,0.0,525.0,525.0,375.0
Scroll of Read Weather,"bard 1, cleric/oracle 1, druid 1, ranger 1, witch 1",,25.0,0.0,25.0,25.0,25.0
